id,xid,name,longitude,latitude,distance,rate,osm,kinds,country
3818906,N3429300976,Гостиница «Бристоль»,38.9347267,47.2119827,,7,node/3429300976,"accomodations,other_hotels",Россия
3982337,N4549651178,"амакс курорт """"старая русса""""",31.3675194,57.9855194,,7,node/4549651178,"accomodations,resorts",Россия
3994795,N6152315069,порт на невском,30.35355,59.9330826,,7,node/6152315069,"accomodations,hostels,guest_houses",Россия
9522713,R6938164,Тихий океан,131.8796692,43.1170998,,7,relation/6938164,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
9595921,R10572941,"hotel metropol palace, a luxury collection hotel",20.473774,44.8067894,,7,relation/10572941,"accomodations,other_hotels",Unknown
10052622,N6726991877,Dealul Șprenghi,25.576128,45.6615753,,7,node/6726991877,"mountain_peaks,campsites,fortifications,historic,accomodations,archaeology,geological_formations,natural,interesting_places,other_fortifications,other_archaeological_sites",Unknown
11182767,W506554717,Schronisko PTTK na Luboniu Wielkim,19.9919014,49.6534309,,7,way/506554717,"architecture,historic_architecture,accomodations,interesting_places,alpine_hut,other_buildings_and_structures",Unknown
11184818,N4551462797,Cafe Bristol,21.0158978,52.242115,,7,node/4551462797,"accomodations,other_hotels,cafes,foods,tourist_facilities",Unknown
11187458,W66874999,бельмонд гранд отель европа,30.3302441,59.9356575,,7,way/66874999,"accomodations,other_hotels",Россия
11187584,N933070337,Северный,34.3615913,61.7887154,,7,node/933070337,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,restaurants,foods,tourist_facilities,other_buildings_and_structures",Россия
11187628,W167786148,Дача Шаляпина,41.5901222,57.4375916,,7,way/167786148,"architecture,historic_architecture,accomodations,interesting_places,villas_and_chalet,other_buildings_and_structures",Россия
11188823,N4903155368,Золотой рог,131.8832703,43.1166611,,7,node/4903155368,"accomodations,cultural,theatres_and_entertainments,interesting_places,other_theatres,other_hotels,shops,malls,tourist_facilities",Россия
11201425,W42082055,гостиница северная,34.360569,61.7890511,,7,way/42082055,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11202434,R225031,Националь,37.6137352,55.7567902,,7,relation/225031,"accomodations,other_hotels",Россия
11203636,N1369465674,Hotelli Seurahuone,24.9398689,60.1701202,,7,node/1369465674,"accomodations,other_hotels",Unknown
11219184,R1831089,"hotel bristol, a luxury collection hotel, warsaw",21.0157223,52.2424049,,7,relation/1831089,"accomodations,other_hotels",Unknown
11219204,W40286950,Grand Hotel Traian,27.5795078,47.1662674,,7,way/40286950,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Unknown
11245124,N6827076186,Куршумли-хан,21.4371204,42.0025787,,7,node/6827076186,"architecture,historic_architecture,accomodations,interesting_places,restaurants,foods,tourist_facilities,hostels,other_buildings_and_structures",Unknown
11245614,N1516840255,Hotel Copernicus,19.9375839,50.0562706,,7,node/1516840255,"accomodations,other_hotels",Unknown
11245657,W108575948,Вилла Елена,34.1646881,44.4945831,,7,way/108575948,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11279746,R3107676,Астория,30.3087807,59.9330444,,7,relation/3107676,"accomodations,other_hotels",Россия
11279774,N3737145992,хостел «бельведер»,28.7455196,60.7122917,,7,node/3737145992,"architecture,historic_architecture,accomodations,interesting_places,hostels,other_buildings_and_structures",Россия
