id,name,longitude,latitude,distance,rate,kinds,country
3818906,Гостиница «Бристоль»,38.9347267,47.2119827,-1.0,7,"accomodations,other_hotels",Россия
3982337,"амакс курорт """"старая русса""""",31.3675194,57.9855194,-1.0,7,"accomodations,resorts",Россия
3994795,порт на невском,30.35355,59.9330826,-1.0,7,"accomodations,hostels,guest_houses",Россия
9522713,Тихий океан,131.8796692,43.1170998,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
9595921,"hotel metropol palace, a luxury collection hotel",20.473774,44.8067894,-1.0,7,"accomodations,other_hotels",Россия
10052622,Dealul Șprenghi,25.576128,45.6615753,-1.0,7,"mountain_peaks,campsites,fortifications,historic,accomodations,archaeology,geological_formations,natural,interesting_places,other_fortifications,other_archaeological_sites",Россия
11182767,Schronisko PTTK na Luboniu Wielkim,19.9919014,49.6534309,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,alpine_hut,other_buildings_and_structures",Россия
11184818,Cafe Bristol,21.0158978,52.242115,-1.0,7,"accomodations,other_hotels,cafes,foods,tourist_facilities",Россия
11187458,бельмонд гранд отель европа,30.3302441,59.9356575,-1.0,7,"accomodations,other_hotels",Россия
11187584,Северный,34.3615913,61.7887154,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,restaurants,foods,tourist_facilities,other_buildings_and_structures",Россия
11187628,Дача Шаляпина,41.5901222,57.4375916,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,villas_and_chalet,other_buildings_and_structures",Россия
11188823,Золотой рог,131.8832703,43.1166611,-1.0,7,"accomodations,cultural,theatres_and_entertainments,interesting_places,other_theatres,other_hotels,shops,malls,tourist_facilities",Россия
11201425,гостиница северная,34.360569,61.7890511,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11202434,Националь,37.6137352,55.7567902,-1.0,7,"accomodations,other_hotels",Россия
11203636,Hotelli Seurahuone,24.9398689,60.1701202,-1.0,7,"accomodations,other_hotels",Россия
11219184,"hotel bristol, a luxury collection hotel, warsaw",21.0157223,52.2424049,-1.0,7,"accomodations,other_hotels",Россия
11219204,Grand Hotel Traian,27.5795078,47.1662674,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11245124,Куршумли-хан,21.4371204,42.0025787,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,restaurants,foods,tourist_facilities,hostels,other_buildings_and_structures",Россия
11245614,Hotel Copernicus,19.9375839,50.0562706,-1.0,7,"accomodations,other_hotels",Россия
11245657,Вилла Елена,34.1646881,44.4945831,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11279746,Астория,30.3087807,59.9330444,-1.0,7,"accomodations,other_hotels",Россия
11279774,хостел «бельведер»,28.7455196,60.7122917,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,hostels,other_buildings_and_structures",Россия
11280042,Волга,46.02631,51.5319214,-1.0,7,"accomodations,other_hotels",Россия
11292921,hotel floryan old town,19.940834,50.0643997,-1.0,7,"accomodations,other_hotels",Россия
11293763,hotel punkaharju,29.3074245,61.8010368,-1.0,7,"accomodations,other_hotels",Россия
11293830,"Здание бывшей гостиницы ""Мадрид""",60.5886345,56.8861542,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11355965,Бристоль,34.1721764,44.4960251,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11367192,Фантаст,19.9019966,45.6527405,-1.0,7,"architecture,historic_architecture,fortifications,historic,accomodations,interesting_places,castles,other_hotels,restaurants,foods,tourist_facilities,other_buildings_and_structures",Россия
11367193,Фантаст,19.9019871,45.6526489,-1.0,7,"fortifications,historic,accomodations,interesting_places,castles,other_hotels",Россия
11367693,U Wnuka,19.9454117,49.2953262,-1.0,7,"guest_houses,architecture,historic_architecture,accomodations,interesting_places,restaurants,foods,bars,tourist_facilities,other_buildings_and_structures",Россия
11367761,hotel royal,19.9393291,50.0545082,-1.0,7,"accomodations,other_hotels",Россия
11370735,Апулум,23.5731659,46.0683098,-1.0,7,"campsites,architecture,historic_architecture,fortifications,historic,accomodations,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",Россия
11370933,лондонская спа отель,30.7420635,46.4868393,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11371373,маринс парк отель ростов,39.7030067,47.2268181,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11371951,Сеурахуоне,30.6882915,61.701519,-1.0,7,"accomodations,other_hotels,restaurants,foods,tourist_facilities",Россия
11375399,Музей-квартира Н.С. Голованова,37.6058426,55.758358,-1.0,7,"architecture,historic,accomodations,museums,other_museums,historic_architecture,apartments,monuments_and_memorials,burial_places,cultural,interesting_places,other_burial_places,monuments,other_buildings_and_structures",Россия
11381911,Бристоль,34.17173,44.4962769,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11385726,Дача Гаусвальд,30.2835522,59.9777794,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,villas_and_chalet,other_buildings_and_structures",Россия
11446775,Клуб Капан Ан,21.4369812,42.0001678,-1.0,7,"accomodations,foods,bars,tourist_facilities,hostels",Россия
11446863,Kофейня „?”,20.4505463,44.8183632,-1.0,7,"guest_houses,architecture,historic_architecture,accomodations,interesting_places,pubs,foods,bars,tourist_facilities,other_buildings_and_structures",Россия
11447304,Castrul roman de la Răcarii de Jos,23.5719223,44.5139465,-1.0,7,"campsites,fortifications,historic,accomodations,archaeology,interesting_places,castles,other_archaeological_sites",Россия
11447306,Castra of Slăveni,24.5291271,44.0819473,-1.0,7,"campsites,architecture,historic_architecture,fortifications,historic,accomodations,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",Россия
11464144,отель невскии форум,30.3545036,59.9316483,-1.0,7,"accomodations,other_hotels",Россия
11464145,невскии маяк,30.3535233,59.9325409,-1.0,7,"accomodations,other_hotels",Россия
11464146,отель «nevsky house»,30.3550911,59.9320221,-1.0,7,"accomodations,other_hotels",Россия
11464148,отель невскии 98,30.3552818,59.9321289,-1.0,7,"accomodations,guest_houses",Россия
11464169,Выборг,28.746088,60.7116318,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11464440,шаляпин палас отель,49.1196136,55.7877731,-1.0,7,"accomodations,other_hotels",Россия
11465457,гостиница версаль,131.879776,43.1166992,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11465458,Сибирское Подворье,131.8875885,43.1202812,-1.0,7,"accomodations,other_hotels",Россия
11474216,Kофейня „?”,20.4524593,44.8177032,-1.0,7,"guest_houses,architecture,historic_architecture,accomodations,interesting_places,restaurants,foods,bars,tourist_facilities,other_buildings_and_structures",Россия
11478151,хилтон москва ленинградская,37.6517372,55.773983,-1.0,7,"accomodations,other_hotels",Россия
11478168,Дача Бугрова,43.180233,56.2241669,-1.0,7,"architecture,historic_architecture,accomodations,cultural,museums,interesting_places,other_museums,villas_and_chalet,other_buildings_and_structures",Россия
11478294,Королёвские номера,56.2429085,58.0168991,-1.0,7,"accomodations,other_hotels",Россия
11496987,Крепость Бип,30.4436951,59.680748,-1.0,7,"architecture,historic_architecture,historic,accomodations,fortifications,interesting_places,castles,other_hotels,other_buildings_and_structures",Россия
11552731,Дом под иконой,19.9369431,50.0607147,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11555799,Старая тюрьма,20.2755604,63.8223991,-1.0,7,"accomodations,other_hotels",Россия
11555800,Старая тюрьма,20.2755184,63.8224716,-1.0,7,"accomodations,other_hotels,pubs,foods,tourist_facilities",Россия
11555880,Angustia,26.3128681,46.05093,-1.0,7,"campsites,architecture,historic_architecture,fortifications,historic,accomodations,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",Россия
11556525,отель пекин,37.5938721,55.7686882,-1.0,7,"accomodations,other_hotels",Россия
11557173,Марциальные Воды,33.8969727,62.1562271,-1.0,7,"resorts,historic,accomodations,historical_places,interesting_places,historic_settlements",Россия
11557295,Центральная,61.5591202,54.0838356,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11589670,Сайгон,30.3457584,59.9325562,-1.0,7,"accomodations,other_hotels,cafes,foods,bars,tourist_facilities",Россия
11615419,Центральная,61.5589676,54.0839157,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,hostels,other_buildings_and_structures",Россия
11615952,Гостиница «Пассаж» 1890 год,39.8920212,59.2210426,-1.0,7,"accomodations,other_hotels",Россия
11632771,hotel cismigiu,26.0950623,44.4348907,-1.0,7,"accomodations,other_hotels",Россия
11646616,hotel mdm city centre,21.0164032,52.2213631,-1.0,7,"accomodations,other_hotels",Россия
11646622,raffles europejski warsaw,21.0150871,52.2419319,-1.0,7,"accomodations,other_hotels",Россия
11646623,Europejski Grill,21.0141716,52.2415886,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,restaurants,foods,tourist_facilities,other_buildings_and_structures",Россия
11649110,"Дача ""Чайка""",35.0358353,57.969677,-1.0,7,"architecture,historic_architecture,accomodations,cultural,museums,interesting_places,other_museums,villas_and_chalet,other_buildings_and_structures",Россия
11663011,"Рэдиссон Ройал, Москва",37.5654907,55.7514572,-1.0,7,"accomodations,other_hotels",Россия
11663014,легендарныи отель советскии,37.5695343,55.7847786,-1.0,7,"accomodations,other_hotels",Россия
11704633,Praetorium of Castra Potaissa,23.7725048,46.5704765,-1.0,7,"campsites,architecture,historic_architecture,fortifications,historic,accomodations,archaeology,interesting_places,destroyed_objects,other_fortifications,other_archaeological_sites",Россия
11706670,Украина,37.5660591,55.7515831,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,restaurants,foods,tourist_facilities,other_buildings_and_structures",Россия
11724794,Hanul cu Tei,26.1021042,44.4321327,-1.0,7,"accomodations,other_hotels",Россия
11724795,Hanul cu Tei,26.1021118,44.4322701,-1.0,7,"accomodations,other_hotels,pubs,foods,tourist_facilities",Россия
11740886,гостиница волгоград,44.5139809,48.7079201,-1.0,7,"accomodations,other_hotels",Россия
11741384,Усадьба Знаменка,29.9645138,59.8765182,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,manor_houses,other_hotels",Россия
11741412,Дружба,28.7451248,60.7156677,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
11741749,№25 Гостиница «Центральная»,60.6131592,56.8351784,-1.0,7,"accomodations,other_hotels",Россия
11744916,Музей-квартира священника Павла Флоренского,37.5805511,55.7392502,-1.0,7,"architecture,historic_architecture,apartments,accomodations,cultural,museums,interesting_places,other_museums,other_buildings_and_structures",Россия
11751528,"Дача ""Кичкине"" (увидели с моря)",34.130558,44.4373741,-1.0,7,"palaces,architecture,historic_architecture,accomodations,cultural,museums,interesting_places,other_museums,villas_and_chalet",Россия
11755372,Гостиница Волгоград,44.5145531,48.7076302,-1.0,7,"accomodations,other_hotels",Россия
11774045,Кичкинэ,34.1299515,44.4365578,-1.0,7,"accomodations,villas_and_chalet,palaces,interesting_places,architecture,historic_architecture",Россия
11833911,Метрополь,37.62117,55.758831,-1.0,7,"architecture,historic_architecture,accomodations,theatres_and_entertainments,cultural,cinemas,interesting_places,other_hotels,restaurants,foods,tourist_facilities,other_buildings_and_structures",Россия
12305408,dom nałeczowski,22.2121525,51.2897911,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,manor_houses,villas_and_chalet",Россия
12880790,hotel polonia palace,21.0101624,52.2293777,-1.0,7,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Россия
12880826,гостиничныи комплекс башкирия,55.9492722,54.7305908,-1.0,7,"accomodations,other_hotels",Россия
14268073,коттедж в старои руссе,31.3654537,57.9868317,-1.0,7,"resorts,guest_houses,accomodations",Россия
14417985,"Здание гостиницы ""Сеурахуоне"" (Сортавала)",30.6887932,61.7014198,-1.0,7,"accomodations,other_hotels,foods,restaurants,tourist_facilities",Россия
14418400,хостел невскии а 88,30.3519516,59.9334793,-1.0,7,"accomodations,hostels",Россия
14421751,отель невскии 67,30.3537407,59.9316597,-1.0,7,"accomodations,other_hotels",Россия
14421752,невскии контур,30.3517895,59.9331894,-1.0,7,"accomodations,other_hotels",Россия
14424893,гостиница метрополь,37.6214867,55.7584267,-1.0,7,"accomodations,cultural,cinemas,theatres_and_entertainments,interesting_places,other_hotels",Россия
14463139,Дом Чичерина,30.3183327,59.9361115,-1.0,7,"accomodations,cinemas,cultural,theatres_and_entertainments,interesting_places,other_hotels",Россия
